,Ancient_Name,Pleiades_ID4,Coordinates4,place_description4,latitude4,longitude4
0,Mesembria ,727117,"[31.3074812, 30.1294036]","Ancient Heliopolis was the capital of the 13th or Heliopolite Nome of Lower Egypt and served as a major religious center. The site is now located in Ayn Shams, a suburb of Cairo.",31.3074812,30.1294036
1,Anchialus,838650014,"[8.122673, 25.203427]","Tassili n'Ajjer is a mountain range of the Sahara Desert, covering an area of 72,000 square kilometers. The mountain range is the site of more than 15,000 rock art drawings and engravings dating from 6000 BC to the first centuries of the present era.",8.122673,25.203427
2,Tonzi,315212,"[10.1246134, 37.2144672]","An ancient place, cited: BAtlas 32 F2 Thinisa?/Tuneiza?/Tunisa?",10.1246134,37.2144672
3,Apollonia,838650014,"[8.122673, 25.203427]","Tassili n'Ajjer is a mountain range of the Sahara Desert, covering an area of 72,000 square kilometers. The mountain range is the site of more than 15,000 rock art drawings and engravings dating from 6000 BC to the first centuries of the present era.",8.122673,25.203427
4,Peronticum,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
5,Phinopolis,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
6,Byzantium,727154,"[29.898889, 31.1575]",A brackish lake of Lower Egypt (now Lake Mariout).,29.898889,31.1575
7,Selymbria,688033,"[34.9738148, 31.6824908]",An Iron Age site in the Valley of Elah identified as the Biblical town of Socho.,34.9738148,31.6824908
8,Perinthos,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
9,Proeconnisus,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
10,Cylla,40090,,"An ancient place, cited: BAtlas 4 unlocated Cachin(n)a/Chachina/Capina",,
11,Callipolis,40090,,"An ancient place, cited: BAtlas 4 unlocated Cachin(n)a/Chachina/Capina",,
12,Methymna,727117,"[31.3074812, 30.1294036]","Ancient Heliopolis was the capital of the 13th or Heliopolite Nome of Lower Egypt and served as a major religious center. The site is now located in Ayn Shams, a suburb of Cairo.",31.3074812,30.1294036
13,Antissa,838650014,"[8.122673, 25.203427]","Tassili n'Ajjer is a mountain range of the Sahara Desert, covering an area of 72,000 square kilometers. The mountain range is the site of more than 15,000 rock art drawings and engravings dating from 6000 BC to the first centuries of the present era.",8.122673,25.203427
14,Dardanum Illium,270854396,,A place from the TAVO Index,,
15,Aesipus,838650014,"[8.122673, 25.203427]","Tassili n'Ajjer is a mountain range of the Sahara Desert, covering an area of 72,000 square kilometers. The mountain range is the site of more than 15,000 rock art drawings and engravings dating from 6000 BC to the first centuries of the present era.",8.122673,25.203427
16,Antandrus,838650014,"[8.122673, 25.203427]","Tassili n'Ajjer is a mountain range of the Sahara Desert, covering an area of 72,000 square kilometers. The mountain range is the site of more than 15,000 rock art drawings and engravings dating from 6000 BC to the first centuries of the present era.",8.122673,25.203427
17,Traianopolis,315212,"[10.1246134, 37.2144672]","An ancient place, cited: BAtlas 32 F2 Thinisa?/Tuneiza?/Tunisa?",10.1246134,37.2144672
18,Prepenisus ,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
19,Adramyttium,838650014,"[8.122673, 25.203427]","Tassili n'Ajjer is a mountain range of the Sahara Desert, covering an area of 72,000 square kilometers. The mountain range is the site of more than 15,000 rock art drawings and engravings dating from 6000 BC to the first centuries of the present era.",8.122673,25.203427
20,Caicus,40090,,"An ancient place, cited: BAtlas 4 unlocated Cachin(n)a/Chachina/Capina",,
21,Dadales,270854396,,A place from the TAVO Index,,
22,Peperre,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
23,Hierocesarea,720628458,"[34.7307012, 31.5471245]","Archaeological site located in southern Palestine with signs of habitation (with gaps) from the late Neolithic through the Hellenistic period, as well as burials from Late Antiquity.",34.7307012,31.5471245
24,Myrina,727117,"[31.3074812, 30.1294036]","Ancient Heliopolis was the capital of the 13th or Heliopolite Nome of Lower Egypt and served as a major religious center. The site is now located in Ayn Shams, a suburb of Cairo.",31.3074812,30.1294036
25,Nacrala,464208930,,A place from the TAVO Index,,
26,Pactolus,246582,"[1, 42.67]","The Pyrenees Mountains separate the Iberian Peninsula from the rest of continental Europe. The mountain ranges extends from the Bay of Biscay to Cap de Creus, for an extent of 491 km (305 miles).",1.0,42.67
27,Iuliogordus,687928,"[35.234156, 31.776679]",The city of Jerusalem.,35.234156,31.776679
28,Sypilus,688033,"[34.9738148, 31.6824908]",An Iron Age site in the Valley of Elah identified as the Biblical town of Socho.,34.9738148,31.6824908
